Lemma,Stem,Paradigm,Class,Translation,Source
hoo wah,hoo wah,PCInterj,PCInterj,Wow!,
yay,yay,PCInterj,PCInterj,"Goodness (as in, ""oh, goodness!"")",
yaay,yaay,PCInterj,PCInterj,"Goodness (as in, ""oh, goodness!"")",
da,daw2,PCDisc,PCDisc,"the heck!",Fairbanks2016
booshke,booshke,PCDisc,PCDisc,really,CMH-June2025
aashke,aashke,PCDisc,PCDisc,come one,ES-OPD-Sentences
ishke,ishke,PCDisc,PCDisc,NONE,ES-OPD-Sentences
osha,oshaw2,PCEmph,PCEmph,NONE,ES-OPD-Sentences
giniin,giniin,PCDisc,PCDis,NONE,NJ-OPD-Sentences
giiwaaj,giiwaaj,PCDisc,PCDisc,NONE,ES-OPD-Sentences
baakaj,baakaj,PCDisc,PCDisc,why on earth,OPD-Sentences
bina,binaw2,PCDisc,PCDisc,just,OPD-Sentences
nanda,nandaw2,PCDisc,PCDisc,the hell,OPD-Sentences
shko,shkow2,PCDisc,PCDisc,NONE,OPD-Sentences
wa,waw2,PCDisc,PCDisc,NONE,OPD-Sentences
aana,aanaw2,PCDisc,PCDisc,NONE,OPD-Sentences
aapidakamig,aapidakamig,PCDisc,PCDisc,NONE,OPD-Sentences
angashkomaa,angashkomaa,PCDisc,PCDisc,please let me,OPD-Sentences
dagapii,dagapii,PCDisc,PCDisc,please do later,OPD-Sentences
enh,enh,PCDisc,PCDisc,yup,OPD-Sentences
gegesa,gegesaw2,PCEmph,PCEmph,so (reduplicated form of gesa?),OPD-Sentences
hoo,hoo,PCEmph,PCEmph,wow,OPD-Sentences
indaashaayok,indaashaayok,PCInterj,PCInterj,all of you,OPD-Sentences
indagashko,indagashkow2,PCInterj,PCInterj,come on,OPD-Sentences
ingodinoo,ingodinoo,PCDisc,PCDist,okay,OPD-sentences
taasayaa,taasayaa,PCDisc,PCDist,oh,OPD-sentences
twaayaa,twaayaa,PCDisc,PCDist,yuck,OPD-sentences
